filename,caption,clip_score
56563_output.png,"High-fidelity mobile UI, bright and clean e-commerce app, light green and white color palette. The screen features a search bar at the top with the text 'Search Groupon', followed by a location indicator and a shopping cart icon. Below, a horizontal scrollable category list with icons and labels such as 'Goods', 'Things To Do', 'Beauty & Spas', 'Restaurants', and 'Travel'. A hero image showcases an offer for 'New Girl in Town' with a 'NEW' badge. Underneath, the offer title '""New Girl in Town""' and location 'Northern Waterfront' are displayed, along with pricing details showing a discount from '$25' to '$16.50'. A bottom navigation bar includes icons and labels for 'Featured', 'Search', 'Notifications' (with a notification badge), and 'My Stuff'.",29.9601
Rico_2349_output.png,"High-fidelity mobile UI, corporate trucking theme, blue and yellow color palette, slightly dated aesthetic. Login screen with a full-screen background image of a truck. The logo 'DRIVE WERNER' is at the top in outlined yellow text. Below are white text fields for 'Username' and 'Password'. A 'Remember Me' checkbox is present. A primary CTA 'LOG IN' is centered. 'LOGIN HELP' and 'ACCOUNT RECOVERY / NEW ACCOUNT' are at the bottom.",46.3769
21727_output.png,"High-fidelity mobile UI, onboarding flow, bright and airy aesthetic, pastel green and yellow color palette, clean design. The screen features a circular logo with a palm tree icon and a sun. Below, the heading reads 'Welcome to TripAdvisor!' followed by the subtext 'Your ultimate travel resource - helping you make the most of every trip.'. A primary CTA button with rounded corners reads 'CONTINUE'. At the bottom, there's a pagination indicator and a right arrow icon.",35.0285
iphone_IMG_9359_output.png,"High-fidelity mobile UI, clean e-commerce app, neutral color palette with white background. The screen features a 'Shop' title and search icon in the top app bar. Below are category tabs: 'Men', 'Women', 'Boys', 'Girls'.  The main content area shows a full-width hero image with the text overlay 'New & Featured'. A second full-width image showcases 'Shoes'. A bottom navigation bar contains icons for Home, Search, Favorites, Bag, and Profile.",26.2341
26309_output.png,"High-fidelity mobile UI, clean and simple design, light beige and white color palette. The screen displays a list of categories. The top bar includes a hamburger menu icon and the text 'English (5676)' with a dropdown arrow, and a search icon. Below, a breadcrumb navigation shows 'English > Free'. The main content area presents two card components with rounded corners, each containing a theatrical mask icon, title 'Free books' with '5444' below, and 'Magazine' with '160' below respectively.",26.9368
33576_output.png,"High-fidelity mobile UI, travel booking app, bright and clean aesthetic, light blue and white color palette. The screen displays a list of hotel properties. At the top is a search bar for 'Acapulco, 2 adults, 8 nights'. Below is a banner promoting 'Book Now, Pay When You Stay!'. The main content area shows hotel cards with hero images, titles like 'Las Brisas Acapulco', star ratings, location details, review scores, and pricing '8 nights from US$774.32'. A green CTA reads 'No Surprises! Final price.'. The bottom nav bar contains 'Sort', 'Filter', and 'Map' buttons.",41.6578
3457_output.png,"High-fidelity mobile UI, modern login screen, purple background with a subtle blurred image. The screen features a clean layout with a clear visual hierarchy. The main title reads 'Enter Anghami with one tap!' followed by a subtitle. Below are two prominent login buttons: a blue button labeled 'Login with Facebook' and a white button labeled 'Login with Google'. A disclaimer is placed below the buttons. At the bottom of the screen are two text links: 'Other login options' and 'Need help?'.",44.0942
3719_output.png,"High-fidelity mobile UI, clean and simple design, light mode, pastel blue accent color. A 'Sign Up' screen with a back arrow in the top-left corner. Below, a circular 'Set Photo' button with a blue border and a placeholder image icon. Input fields labeled 'First Name', 'Last Name', 'Username', 'Email', 'Password', 'Birthday', and 'Phone (Recommended)'. A primary CTA button at the bottom reads 'SIGN UP' in white text on a blue background. Small text below the button states ""By tapping 'Sign Up' you agree to Kik's terms and privacy policy"".",33.4276
25255_output.png,"High-fidelity mobile UI, clean and modern, light teal and white color palette, with a focus on deals and offers. The screen features a full-width hero image with the 'IRCTC Website' logo and a cashback offer. Below, a segmented control with 'Popular Offers', 'Nearby Stores', and 'Restaurants'. A horizontal scrollable list displays 'Nearby Stores' with card components showing logos like 'WHSmith' and 'RICHFEEL', along with text like 'Get 20% cashback' and a 'Cashback' tag. Another section shows 'Restaurants' with 'Wow Momo' and 'Sagar Ratna' logos, and a 'Freebies' offer tag. A floating action button (FAB) with a search icon is positioned at the bottom right.",34.3642
2208_output.png,"High-fidelity mobile UI, travel app, light mode, pastel color palette. The screen displays a travel planning interface. The header contains a hamburger menu icon on the left and the title 'Your trips' in the center, with a vertical ellipsis icon on the right. Below the header is a search bar with the placeholder text 'Where do you want to go?' and a search icon. Underneath is the label 'Explore', followed by a carousel of destination cards. The visible card displays a hero image of the New York skyline and the text 'New York' overlaid on the image's top-left. A pagination indicator is at the bottom of the card.",30.5755
Android_Android_41_output.png,"High-fidelity mobile UI, clean and modern event planning app, bright pink and gray color scheme, flat design. The screen features a top pink header with 'Virtual Planner' title and an info icon. Below are three full-width image cards with overlaid text: 'Coordinator' over a cocktail image, 'Engagement Photography' over a couple, and 'Beauty Stylist' over a hair styling image. A pink FAB with a white edit icon is positioned on the bottom right. A bottom navigation bar contains icons and labels for 'To-do', 'Registry', 'Vendor', 'Guest', 'Organizer', and 'Me'.",35.7961
34217_output.png,"High-fidelity mobile UI, onboarding flow, monochromatic teal color palette, clean and modern. The screen features a full-screen gradient teal background. White, sans-serif text at the top reads 'Now, Airbnb is more than just homes. Book your whole trip — all from one app.'. At the bottom is a rounded rectangle primary CTA button with the text 'Let's go' in a sans-serif font.",32.8776
10249_output.png,"High-fidelity mobile UI, vibrant and modern, with a bright color palette and flat design elements. The screen displays a 'Collections' view with a top app bar containing a menu icon and search icon. Below, a 'FEATURED' label sits above a grid layout of card components. Each card contains an image, title, author, and a 'FOLLOW' button. Example cards include ""in a crystal Ball"" by julia larrigue, ""Music Technology"" by Danie van der Merwe, ""Neuroscience"" by Neuroscience News, and ""Technology"" by CJ Dulberger. A bottom navigation bar includes icons and labels for 'Home', 'Collections', 'Communities', and 'Notifications'.",28.2437
31143_output.png,"High-fidelity mobile UI, modern train travel app, dark blue and teal color palette, clean and functional design. The screen shows a segmented control with 'PLAN & BUY' selected and 'LIVE TIMES' as the alternative. Below are input fields labeled 'from Departure station' and 'to Arrival station' with a swap icon. A modal appears with a 'NEW' badge and the title 'Improved live times features', followed by a list of checkmarked features. The modal has a dismiss button 'OK, GOT IT X'. At the bottom is a full-width primary CTA button that reads 'Find trains'.",35.5764
34216_output.png,"High-fidelity mobile UI, Airbnb-style, bright and airy aesthetic, pastel teal and white color palette. A search bar at the top reads 'Anywhere · Anytime · 1 guest'. Below, a segmented control with labels 'FOR YOU', 'HOMES', 'EXPERIENCES', 'PLACES', with 'EXPERIENCES' highlighted. A grid layout displays experience cards. The first card shows a wine tasting image, with text '$28 1 hour · wine & wine tasting'. The second card shows an art image, with text '$51 2 hours · art & painting'. A 'Filters' button is present. A bottom navigation bar includes icons and labels: 'EXPLORE', 'SAVED', 'TRIPS', 'INBOX', 'PROFILE'. Each card has a heart icon for saving.",25.3116
57388_output.png,"High-fidelity mobile UI, cheerful and motivational app design, bright teal and yellow color palette with rainbow accents. The screen features a top app bar with a hamburger menu icon, the app title 'Fabulous', and a plus icon. Below is a banner displaying '0/27 events achieved' with a rainbow graphic. A list view shows several tasks: 'Drink Water' (status 'Not yet started'), 'Great Breakfast', 'Dance your Way', 'Golden Challenge', and 'Secret Letter', all with the status 'Not yet unlocked'. Each task has a corresponding icon.",31.9318
iphone_IMG_3932_output.png,"High-fidelity mobile UI, clean and modern, pastel color palette with a focus on whitespace. Onboarding screen for a real estate app. The Trulia logo is at the top. Below is a stylized icon of a house and tree. The main headline reads 'Let's start searching for a home'. Supporting copy: 'This is your activity feed. As you start to search it will fill up with information personalized to you.' A rounded rectangle primary CTA button reads 'Start Your Search'. The bottom nav bar contains icons and labels for 'Feed', 'Search', 'Saves', 'Alerts', and 'More'.",31.4698
